"study","country","religion","subject_id","order_cb","interviewer","language","subject_gender","subject_age","subject_ethnicity","subject_afford","subject_ses","subject_occupation_parent","subject_occupation","subject_education","subject_education_text","subject_urban_rural","subject_religion","subject_religion_parent","subject_religiosity","subject_church","subject_tongues1","subject_tongues2","spev_score","por_score"
"study 2","US","general population",10519,2,"Amy","English","Female",30,"White",0,1,"Mom: sales, Dad: used to vinyl fencing business","Muscle work, medical empath - feel/experience person's pain w/out having","Bachelors degree",NA,"Rural","Not specific type/denomination, parents bounced around, all Christian","Baptist, Lutheran, Methodist",2,"Don't",0,0,0.7,0.4375
"study 2","US","general population",10520,2,"Amy","English","Female",57,"White, Anglo-saxon, bunch",1,1,"Mom: Secretary - deceased, Don't know father","Jury clerk","Some college",NA,"Urban","None. Grew up Protestant, attended Church of Christ","Mom: Protestant while alive",2,NA,1,1,0.35,0.5625
"study 2","US","general population",10523,2,"Lizzy","English","Female",31,"White",1,-2,"Mom: unemployed, Dad: tech, Step dad: army","Target","Bachelors degree",NA,"Urban","Lapsed Catholic","Not actively",1,"N/A",1,1,0.3,0.34375
"study 2","US","general population",10525,2,"Mark","English","Female",18,"Columian",1,0,"Communications Tech / Family therapist","Student",NA,NA,"Urban","N/A","Catholic but not really anymore",0,"Mt. Carmel",1,1,0.1,0.25
"study 2","US","general population",10526,2,"Mark","English","Male",22,"Chinese-American",1,1,"Software architect / Mom works","Software engineer","Bachelors degree",NA,"Rural","No","Mom-Christian recently",-2,NA,1,1,0,0.09375
"study 2","US","general population",10527,2,"Mark","English","Male",60,"White",1,0,"Construction Worker/Nurse","EE @ SLAC","Bachelors degree",NA,"Rural","None","mdata",0,"N/A",1,1,0.15,0.25
"study 2","US","general population",10528,2,"Mark","English","Female",20,"White",1,0,"Tutor / Software consultant","Student",NA,NA,"Urban","No","Missing Data",-1,"No",1,1,0,0
"study 2","US","general population",10529,2,"Mark","English","Male",29,"White",1,0,"Nurse/Power Co Employee","Football Player",NA,NA,"Rural","Christianity","mdata",2,"mdata",1,1,0.444444444444444,0.708333333333333
"study 2","US","general population",10530,2,"Mark","English","Male",22,"White",1,0,"Trucker / Flight Attendant","Student",NA,NA,"Urban","Roman Catholic","Missing Data",1,NA,1,1,0.05,0.0357142857142857
"study 2","US","general population",10532,2,"Mark","English","Female",20,"White",1,2,"Professor / Book binder","Student",NA,NA,"Rural","Protestant, now Atheist","Missing Data",NA,NA,1,1,0.0526315789473684,0.0714285714285714
"study 2","US","general population",10533,2,"Mark","English","Female",37,"Caucasian - White",1,0,"Mom: Sales/Engineer, Dad: Pharmacist","Technical Program Manager","Bachelors degree",NA,"Urban","N/A","N/A",-2,"N/A",1,1,0,0.0333333333333333
"study 2","US","general population",10534,2,"Mark","English","Male",40,"Italian-American",1,1,"Mom: Waitress / Dad: Management","Publisher","Some college",NA,"Urban","Christianity","Catholic",2,"1 year Catholic Church",1,1,0.35,0.466666666666667
"study 2","US","general population",10535,2,"Mark","English","Female",36,"Chinese",1,0,"Optometrist + Homemaker","Doctor","Other graduate degree",NA,"Urban","No","No",-1,"N/A",1,1,0,0.15625
"study 2","US","general population",10536,2,"Noah","English","Female",65,"White (Anglo-saxon)",0,-1,"Mom: Editor, Dad: Professor","Professor","Masters degree",NA,"Rural","No","Pres. / Atheist",1,"Missing Data",0,0,0.2,0.125
"study 2","US","general population",10537,2,"Noah","English","Male",52,"African American",0,-2,"Mom: school district, Dad: police","homeless",NA,NA,"Urban","N/A","mdata",2,"mdata",0,0,0.1,0.0625
"study 2","US","general population",10538,2,"Noah","English","Male",66,"Jamaican",1,0,"Mom: Seamstress, Dad: Cook","Retired (Navy)","Some college",NA,"Urban","Methodist","Methodist",1,"Ocassionally",1,1,0.05,0.1875
"study 2","US","general population",10539,2,"Noah","English","Male",25,"African-American",0,-2,"Mom: receptionist, Dad: no idea","Stanford bookstore","Some college",NA,"Urban","N/A","mdata",-2,"mdata",0,0,0.2,0.65625
"study 2","US","general population",10540,2,"Noah","English","Male",34,"Latin / Italian",0,-1,"Mom: Dental assistant, Dad: Construction","Botanist","Bachelors degree",NA,"Urban",NA,"Catholic",1,"Missing Data",0,0,0.35,0.15625
"study 2","US","general population",10541,2,"Noah","English","Male",35,"Hispanic",1,-1,"Mom: Business, Dad: Construction","QA Manager","Some college",NA,"Urban","No","Catholic",1,"mdata",1,1,0.35,0.625
"study 2","US","general population",10542,2,"Noah","English","Female",33,"White",1,1,"Physicians","Yoga business","Masters degree",NA,"Rural","Judaism","Judaism",2,"No",1,1,0.35,0.21875
"study 2","US","general population",10543,2,"Noah","English","Male",29,"White",1,0,"Mom: physics teacher, Dad: software engineering","teach web programming","Some college",NA,"Urban","Vipassana Buddhism","Yogis",2,"mdata",1,1,0.225,0.15625
"study 2","US","general population",10544,2,"Norman","English","Female",21,"Latino",1,0,"Dad: Landscaper","Cashier","Some college",NA,"Rural","Catholic","Catholic",2,"Downtown Mt.View, CA",1,1,0.25,0.1875
"study 2","US","general population",10545,2,"Norman","English","Male",29,"African-American",0,-2,"construction worker","homeless","No HS degree",NA,"Urban","Christian","Christian",2,"None",0,0,0.35,0.4
"study 2","US","general population",10546,2,"Norman","English","Female",82,"English",0,1,"Alcoa Business Exec.","Retired","Other graduate degree",NA,"Urban","Practicing Atheist","Episcopal",-2,"None",0,0,0,0.0333333333333333
"study 2","US","general population",10547,2,"Norman","English","Female",70,"British, Irish, Danish",1,0,"Mom: secretary, Dad: Merchant Marine","part-time faculty","Masters degree",NA,"Urban","United Methodist","Very little, but Methodist",1,"Int United Methodist Palo Alto",1,1,0.1,0.15625
"study 2","US","general population",10548,2,"Norman","English","Male",53,"Euro-Spanish (Dad), French-Canadian (Mom)",0,-1,"Barbershop owner","Retail Store Manager","Some college",NA,"Urban","No","Catholic, Dad: Sephardic Jewish",-1,"None",0,0,0.1,0.0625
"study 2","US","general population",10549,2,"Norman","English","Female",48,"Philipina",1,0,"Businessman","Teacher","Masters degree",NA,"Urban","Catholic","Catholic",2,"St. Anne's Union City",1,1,0.45,0.766666666666667
"study 2","US","general population",10550,2,"Norman","English","Male",22,"Black + Philipino",1,0,"Mom: Associate Manager, Step-dad: Computer engineer","Cashier",NA,NA,"Urban","Religion is a choice; I'm not interested in it.","Catholic",-1,"Missing Data",1,1,0.55,0.4375
"study 2","US","general population",10552,2,"Norman","English","Female",28,"Pacific Islander - Tongan, French, Irish, British, Okinawa",1,-2,"Mom: Retail, Dad: Hospitality","Retail","Some college",NA,"Urban","Methodist","Methodist",1,"None Trinity United Methodist, Pearl City",1,1,0.3,0.28125
"study 2","US","general population",10553,2,"Norman","English","Female",28,"Czech, Irish",1,0,"Mom: Special ed. teacher, Dad: financial consultant","Bookseller","Masters degree",NA,"Rural","No","United Methodist",0,"None",1,1,0.175,0.21875
"study 2","US","general population",10554,2,"Norman","English","Male",72,"Russian Jewish 3/4 (1/4 Polish)",1,-1,"Grocers","Researcher","Other graduate degree",NA,"Urban","Orthodox Jewish","Orthodox Jewish",2,"Hillel at Stanford",1,1,0.05,0
"study 2","US","general population",10555,2,"Norman","English","Female",27,"Scottish",1,0,"Trucker","Massage Therapy","Vocational school",NA,"Rural","No","Christian",1,"No",1,1,0.4,0.5
"study 2","US","general population",10556,2,"Norman","English","Male",21,"Mexican",1,0,"Mom: Housecleaner, Dad: Landscaper","Missing Data","Some college",NA,"Urban","Catholicism","Catholicism",1,"St. Anthony's, Menlo Park, CA",1,1,0,0.3125
"study 2","US","general population",10557,2,"Norman","English","Male",20,"Latino/Mexican",0,-2,"Retail","Retail","Some college",NA,"Urban","No","Non-Denominational Church",-1,"Every so often with parents - calvary chapel in LA",0,0,0.1,0.53125
"study 2","US","general population",10558,2,"Norman","English","Male",58,"English-Dutch-Irish",0,-1,"Mgr of Clothing Store","Dock worker",NA,NA,"Rural","No","Southern Baptist",0,"None",0,0,0.05,0.125
"study 2","US","general population",10561,2,"Sarah","English","Male",71,"African Amer",1,-1,"Mom: Retired Macy's sales worker, Dad: Retired supervisor food service at Stanford","Retired","Some college",NA,"Rural","Partisan","Baptist",1,"No",1,1,0,0.03125
"study 2","US","general population",10562,2,"Sarah","English","Other",26,"White",0,-2,"Mom: Chemical hire inmates + work with chemicals, Dad: Factory job computers (Boars head)","Not currently - possibly going to fix apple computers",NA,NA,"Rural","Christianity - possibly Presbyterian / Catholic, Raised Pentecostal","No, used to be Pentecostal",1,"Church of Mountain View",0,0,0.25,0.59375
"study 2","US","general population",10563,2,"Sarah","English","Female",23,"White",1,0,"Mom: was teacher now int. designer, Dad: marketing","Wildlife Biologist","Bachelors degree",NA,"Rural","Raised Catholic, none","Mom: not really, Dad: still religious",1,"St. Perpetua - Moraga",1,1,0.25,0.15625
"study 2","US","general population",10564,2,"Sarah","English","Male",40,"Caucasian",1,0,"Both Corporate lawyers","Environmental engineer / Stay at home dad","Bachelors degree",NA,"Urban","None","Mom: raised catholic, didn't push. Dad: possibly catholic also",-2,"None",1,1,0,0
"study 2","US","general population",10565,2,"Sarah","English","Female",20,"White",1,-1,"Mom: stay at home, Dad: electrician","Junior in college - Parks + rec","Bachelors degree",NA,"Rural","Church of Latter Day Saints","Church of Latter Day Saints",2,"Logan Temple of JC of Latter Day",1,1,0.4,0.46875
"study 2","US","general population",10566,2,"Sarah","English","Female",62,"White",1,1,"Mom: Homemaker, 10 yrs owned business (wallpaper and paint), Dad: Military-transportation","Investment Management","Bachelors degree",NA,"Urban","Presbyterian","Presbyterian",-1,"Missing Data",1,1,0.1,0.21875
"study 2","US","general population",10567,2,"Sarah","English","Male",55,"Mexican American (Hispanic)",1,0,"Mom: retired (medical transcriptionist), Dad: Mechanic","Uber (+/+)?",NA,NA,"Urban","Christianity","Catholic",2,"no. Watch miracles on TV/radio",1,1,0.05,0.71875
"study 2","US","general population",10568,2,"Sarah","English","Female",45,"White",1,0,"Mom: homemaker, Dad: own company, computer-builds","Airbnb host / admin assistant","Some college",NA,"Rural","(Any of them) Buddhism / Christianity / Shamanic Practice / Truth in all religion","No",2,"No",1,1,0.65,0.875
"study 2","US","general population",10569,2,"Sarah","English","Male",25,"White",1,-1,"Mom: Retired manager of gifts for UCSC, Dad: retired. was dir of facilities for school district","Assistant Planner (Mountain View)","Masters degree",NA,"Urban","go to church sometimes - Catholic (although not really)","Mom: not religious, Dad: Catholic",-1,"Catholic Church - St Mary's in Los Gatos",1,1,0.05,0
"study 2","US","general population",10570,2,"Sarah","English","Male",70,"Jewish",1,0,"Mom: Secretary, Dad: Postman","Student- computer science, degree unfinished","Masters degree",NA,"Urban","Judaism","Judaism",0,"No",1,1,0.05,0.25
"study 2","US","general population",10571,2,"Sean","English","Female",19,"White",0,0,"Mom: Manager, Dad: A consultant","Student","Some college",NA,"Urban","Presbyterian","Presbyterian",-1,"Covenant Presbyterian",0,0,0.2,0.1875
"study 2","US","general population",10572,2,"Sean","English","Male",26,"White",1,-1,"Mom: Banker & Special ED Teacher, Dad: Banker","EMT Emergency Medical Technician","Some college",NA,"Urban",NA,"Mom: General Christian",-1,NA,1,1,0.3,0.5
"study 2","US","general population",10573,2,"Sean","English","Female",47,"White",1,1,"Bluecollar, retail (both parents)","Homemaker","Masters degree",NA,"Rural","Judaism","Judaism",1,"Congregation Sinai",1,1,0,0.03125
"study 2","US","general population",10574,2,"Sean","English","Male",54,"White",0,0,"Mom: Secretary in retail , Dad: Fireman","Robot engineering + Technology","Some college",NA,"Urban","No","Christian",-2,"No",0,0,0.1,0.03125
"study 2","US","general population",10575,2,"Sean","English","Female",50,"White",1,0,"Mom: Homemaker + Cleaning Business, Dad: Truck driver","Paralegal","Some college",NA,"Rural","Christian","Presbyterian (although not currently)",2,"Bay Area Christian Church",1,1,0.25,0.34375
"study 2","US","general population",10576,2,"Sean","English","Female",55,"White",0,0,"Banker + Electronics","Travel agent","Some college",NA,"Urban","Catholic","Catholic",1,NA,0,0,0.25,0.5
"study 2","US","general population",10577,2,"Sean","English","Female",45,"White",1,-2,"Mom: Homemaker, Dad: Construction","Elementary school teacher","Bachelors degree",NA,"Urban","non denominational / Christian","Mom: Mormon, Dad: Catholic",2,"Crosswalk community",1,1,0.1,0.166666666666667
"study 2","US","general population",10578,2,"Sean","English","Female",56,"White",1,0,"Mom: Teacher, Dad: Pilot","Occupational Therapist","Bachelors degree",NA,"Rural",NA,"Catholics",1,NA,1,1,0.05,0.21875
"study 2","US","general population",10579,2,"Sean","English","Female",69,"Swedish, English & Dutch, White",1,0,"Civil servants & ? NY State","Hollistic medicine RN","Bachelors degree",NA,"Urban","Presbyterian","Mother Lutheran -> Dutch reformed?",2,"Stone Presbyterian, World Community of church meditators",1,1,0.6,0.5
"study 2","US","general population",10580,2,"Sean","English","Male",52,"Caucasian / White",1,0,"Mom: Nurse / RN, Dad: Professor","Business development consultant Biotech","Other graduate degree",NA,"Urban","No","Parents didn't practice, but raised with religion",1,NA,1,1,0.55,0.09375
"study 2","US","general population",10581,2,"Sean","English","Female",41,"Vietnamese",1,0,"Mom: Pharmacist, Dad: Muni @ SF","ICU Pharmacist","Masters degree",NA,"Urban","No","Buddhism",-1,"N/A",1,1,0.05,0.0625
"study 2","US","general population",10582,2,"Sean","English","Female",47,"Caucasian",1,0,"Mom: Homemaker, Dad: Manager of Power Plant","Loan officer","Bachelors degree",NA,"Rural","Catholic","Mom: Baptist, Dad: Catholic",1,"St. Mary's",1,1,0.1,0.09375
"study 2","US","general population",10583,2,"Sean","English","Female",44,"Irish, German, & French / Caucasian",1,1,"Mom: ?, Dad: Tech manager for state","Homemaker","Some college",NA,"Urban","Methodist","Methodist",1,"No",1,1,0.15,0.125
"study 2","US","general population",10584,2,"Sean","English","Female",37,"White",1,0,"Mom: Commercial Banker, Dad: High school administration","Business consultant","Masters degree",NA,"Urban","Christian","Little Christianity, not very religious",1,NA,1,1,0.2,0.1875
"study 2","US","general population",10585,2,"Sean","English","Female",79,"Caucasian",1,0,"Mom: Teacher, Dad: Chemist/Inventor","Retired volunteer @ Sacred Heart","Some college",NA,"Rural","Presbyterian","Quaker, not much church",2,"Stone Presbyterian",1,1,0.25,0.5
"study 2","US","general population",10586,2,"Sean","English","Female",30,"Mediterranean (Greek)",1,-1,"Teacher & Engineer","Non-profit","Vocational school",NA,"Rural","Orthodox Christian","Orthodox Christian",2,"Orthodox Churches throughout Bay Area",1,1,0.3,0.46875
"study 2","US","general population",10587,2,"Sean","English","Female",36,"Vietnamese",1,1,"Mom: Pharmacist, Dad: Muni driver","Pharmacist","Other","PharmD","Urban","Catholicism","Cultural/Mild Buddhism",1,"Resurrection",1,1,0.2,0.03125
